,name,cover,source,url,favorited,artist
73,Die Antwoord Open The Door Feat Panther Modern,https://i1.sndcdn.com/artworks-JzZHeLqg0GaX1nU9-1USH3A-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/die-antwoord-open-the-door-feat-panther-modern.mp3?raw=true,https://soundcloud.com/narchbeats/die-antwoord-open-the-door-feat-panther-modern,false,Narchbeats
74,Amagami Ss After The Shower,https://i1.sndcdn.com/avatars-000071250574-s3ypeb-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/amagami-ss-after-the-shower.mp3?raw=true,https://soundcloud.com/blackchaosvortex/amagami-ss-after-the-shower,false,Blackchaosvortex
75,Xs Project Vs Konnekt Cocaine,https://i1.sndcdn.com/artworks-000020753153-jgv6ed-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/xs-project-vs-konnekt-cocaine.mp3?raw=true,https://soundcloud.com/xsproject/xs-project-vs-konnekt-cocaine,false,Xsproject
76,Happy Endings,https://i1.sndcdn.com/artworks-000257952980-bi5whl-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/happy-endings.mp3?raw=true,https://soundcloud.com/plexi-two/happy-endings,false,Plexi Two
77,Strangers Rmx,https://i1.sndcdn.com/artworks-000225104292-mmqdas-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/strangers-rmx.mp3?raw=true,https://soundcloud.com/duumu/strangers-rmx,false,Duumu
78,Uh Lala Monsieur Francais,https://i1.sndcdn.com/artworks-hVGcUkx7CFXzrxgM-RTiviw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/uh-lala-monsieur-francais.mp3?raw=true,https://soundcloud.com/jazzyryuuji/uh-lala-monsieur-francais,false,Jazzyryuuji
79,Lets Get Lit,https://i1.sndcdn.com/artworks-000603061837-yv37lh-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/lets-get-lit.mp3?raw=true,https://soundcloud.com/moshemechant/lets-get-lit,false,Moshemechant
80,Coastal Highway,https://i1.sndcdn.com/artworks-rbwDesjnjWz0UZ0n-DUuxNA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/coastal-highway.mp3?raw=true,https://soundcloud.com/glitchdroids/coastal-highway,false,Glitchdroids
81,Sunset Paradise,https://i1.sndcdn.com/artworks-grS8SEAmHczy90GA-S6qtjQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/sunset-paradise.mp3?raw=true,https://soundcloud.com/aboywithaballoon/sunset-paradise,false,Aboywithaballoon
82,Ii Desu Yo,https://i1.sndcdn.com/artworks-pf8d7hFAmt6BFlR7-cpUOew-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/ii-desu-yo.mp3?raw=true,https://soundcloud.com/kurosai/ii-desu-yo,false,Kurosai
83,03 Close To You,https://i1.sndcdn.com/artworks-oM9RB9vvUJk8yNrI-4g21tA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/03-close-to-you.mp3?raw=true,https://soundcloud.com/saury315/03-close-to-you,false,Saury315
84,Galimatias Alina Baraz Fantasy Ramzoid Bootleg,https://i1.sndcdn.com/artworks-000136374492-zpsfoc-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/galimatias-alina-baraz-fantasy-ramzoid-bootleg.mp3?raw=true,https://soundcloud.com/ramzoid/galimatias-alina-baraz-fantasy-ramzoid-bootleg,false,Ramzoid
85,Chilli Will Summer Days,https://i1.sndcdn.com/artworks-meBjdZ9P2Em2LhQf-CKcQaQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/chilli-will-summer-days.mp3?raw=true,https://soundcloud.com/user-304005133-494915018/chilli-will-summer-days,false,User 304005133 494915018
86,Windy Night,https://i1.sndcdn.com/artworks-Az3rl0gxQJOz19rP-Th0jVQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/windy-night.mp3?raw=true,https://soundcloud.com/leila-wilson-woofle/windy-night,false,Leila Wilson Woofle
87,Standalone,https://i1.sndcdn.com/artworks-Nv5jxIcWDJcyev4d-jwBZ3Q-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/standalone.mp3?raw=true,https://soundcloud.com/hal-honke/standalone,false,Hal Honke
88,Grlfrnd,https://i1.sndcdn.com/artworks-000138687807-3t5u4v-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/grlfrnd.mp3?raw=true,https://soundcloud.com/vxlkyrie/grlfrnd,false,Vxlkyrie
89,Deadbeats,https://i1.sndcdn.com/artworks-rz7izkl6CLyV4sen-xSPVHw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/deadbeats.mp3?raw=true,https://soundcloud.com/ryogaa/deadbeats,false,Ryogaa
90,Vibe,https://i1.sndcdn.com/artworks-000312570408-7dkn39-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/vibe.mp3?raw=true,https://soundcloud.com/internet-boi/vibe,false,Internet Boi
91,Nosebleed,https://i1.sndcdn.com/artworks-OKXQfwSYTBS2lXol-Xv6StA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/nosebleed.mp3?raw=true,https://soundcloud.com/flamanted/nosebleed,false,Flamanted
92,Kudatte Iku,https://i1.sndcdn.com/artworks-MBDkjn9RjVJ5TDcp-kuQnVA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/kudatte-iku.mp3?raw=true,https://soundcloud.com/mogg812/kudatte-iku,false,Mogg812
93,Jeff N Andy,https://i1.sndcdn.com/artworks-000167788373-a9y5un-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/jeff-n-andy.mp3?raw=true,https://soundcloud.com/andrewapplepie/jeff-n-andy,false,Andrewapplepie
